pipeline,clean_accuracy,macro_f1,worst_corruption_accuracy,average_corrupted_accuracy,average_accuracy_drop,fps,mean_latency_ms,hand_detection_failure_rate,notes
enhancement_clahe_resnet18,0.9954,0.9954,0.7356,0.9404,0.055,16.7,59.93,0.0,
enhancement_clahe_vit,0.9996,0.9996,0.8629,0.9607,0.0389,9.3,107.04,0.0,
enhancement_denoise_resnet18,0.9954,0.9954,0.7012,0.9111,0.0843,7.9,126.96,0.0,
enhancement_gamma_resnet18,0.9985,0.9985,0.9135,0.969,0.0295,21.8,45.8,0.0,
enhancement_gamma_vit,1.0,1.0,0.8927,0.9654,0.0346,22.9,43.64,0.0,
enhancement_sharpen_resnet18,0.9965,0.9965,0.101,0.8617,0.1348,244.6,4.09,0.0,
mediapipe_crop_resnet18,0.8859,0.8627,0.0,0.5977,0.2882,18.9,52.87,0.1715,
mediapipe_crop_vit,0.9851,0.9707,0.0,0.7643,0.2208,11.2,88.9,0.1715,
mediapipe_landmarks_mlp,0.9705,0.9556,0.0,0.7074,0.2631,35.0,28.56,0.1715,
mediapipe_landmarks_rf,0.9741,0.9552,0.0,0.7713,0.2028,16.6,60.09,0.1715,
mediapipe_landmarks_svm,0.9706,0.9723,0.0,0.7641,0.2064,19.8,50.38,0.1715,
raw_resnet18,0.9985,0.9985,0.9202,0.9695,0.029,222.3,4.5,0.0,
raw_siglip,1.0,1.0,0.8912,0.9673,0.0327,6.3,159.26,0.0,
